S.S._Dolphin_Bowsprit_1.obj					  0.109239  -0.195471 13.4482
S.S._Dolphin_Bowsprit_2.obj                   0.08777   -0.194336 12.6004
S.S._Dolphin_Bowsprit_3.obj                   0.085498  -0.837475 11.4956
S.S._Dolphin_Bowsprit_4.obj                   0.022462  0.274619  12.1644
S.S._Dolphin_Bowsprit_4.001.obj               0.090579  0.514703  11.4355
S.S._Dolphin_Bowsprit_5.obj                   0.125879  0.496724  11.438
S.S._Dolphin_Bowsprit_6.obj                   0.173693  -0.436626 8.35494
S.S._Dolphin_Bowsprit_7.obj                   0.109033  -0.28802  10.7095
S.S._Dolphin_Bowsprit_8.obj                   0.085498  -0.19269  11.2725
S.S._Dolphin_Bowsprit_9.obj                   0.085499  -0.185981 11.3642
S.S._Dolphin_Bowsprit_10.obj                  0.066628  -0.211741 10.7485
S.S._Dolphin_Bowsprit_11.obj                  0.091311  -0.183274 10.432
S.S._Dolphin_Chronos_Reactor_1.obj            0.085475  -0.162668 0.928868
S.S._Dolphin_Chronos_Reactor_2.obj            0.152796  -0.151749 2.14943
S.S._Dolphin_Chronos_Reactor_3.obj            0.085499  -0.164367 2.10183
S.S._Dolphin_Chronos_Reactor_4.obj            0.085918  -0.192904 2.29768
S.S._Dolphin_Chronos_Reactor_5.obj            0.052401  -0.182727 3.32243
S.S._Dolphin_Chronos_Reactor_lights.obj       0.083814  -0.159077 2.22453
S.S._Dolphin_Chronos_Reactor_lights.001.obj   0.085472  -0.163049 2.22453
S.S._Dolphin_Chronos_Reactor_lights_2.obj     0.084824  -0.078733 2.24715
S.S._Dolphin_Chronos_Reactor_lights_frame.obj 0.084813  -0.161363 2.25041
S.S._Dolphin_Eternal_Fuel_Dynamo.obj          0.081521  -0.041817 4.82438
S.S._Dolphin_Eternal_Fuel_Dynamo_Base.obj     0.040557  -0.24434  4.34332
S.S._Dolphin_Eternal_Fuel_Dynamo_Wire_1.obj   0.182942  -1.86217  4.55497
S.S._Dolphin_fin_frame.obj                    -2.59524  -0.163792 1.39482
S.S._Dolphin_Geiger_Counter.obj               0.085501  -3.31268  5.79653
S.S._Dolphin_Geiger_Counter_pointer.obj       0.082345  -3.3468   5.94194
S.S._Dolphin_Gluon_Drive_cog_1.obj            0.103084  -0.190299 9.68218
S.S._Dolphin_Gluon_Drive_cog_2.obj            0.067532  -0.200742 8.61647
S.S._Dolphin_Gluon_Drive_cog_3.obj            1.58427   -0.19389  9.59971
S.S._Dolphin_Gluon_Drive_cog_4.obj            -1.52853  -0.124352 8.84451
S.S._Dolphin_Gluon_Drive_cog_5.obj            -1.61775  -0.198995 8.07355
S.S._Dolphin_Gluon_Drive_cog_6.obj            1.58501   -0.192649 7.99863
S.S._Dolphin_Guard_Satellite_1.obj            -3.91288  -3.19161  12.7261
